lat,lon,bearing,depth
51.509827,-0.136377,15.000000,5.600000
51.509827,-0.136377,160.000000,7.200000
51.509827,-0.136377,62.000000,7.400000
51.509827,-0.136515,205.000000,3.800000
51.509827,-0.136515,72.000000,12.000000
51.509827,-0.136515,78.000000,21.000000
51.509834,-0.136650,83.000000,22.600000
51.509830,-0.136185,169.000000,3.800000
51.509830,-0.136185,216.000000,5.000000
51.509830,-0.136185,289.000000,8.000000
51.509830,-0.136185,324.000000,4.200000
51.509856,-0.136014,113.000000,5.400000
51.509856,-0.136014,209.000000,7.800000
51.509856,-0.136014,240.000000,11.200000
51.509856,-0.136014,273.000000,14.600000
51.509856,-0.136014,49.000000,6.600000
51.509866,-0.135939,10.000000,3.800000
51.509866,-0.135939,153.000000,4.000000
51.509866,-0.135939,270.000000,15.400000
51.509866,-0.135939,339.000000,4.400000
51.509890,-0.135788,219.000000,5.200000
51.509890,-0.135788,278.000000,7.400000
51.509920,-0.135633,111.000000,5.800000
51.509920,-0.135633,241.000000,9.400000
51.509938,-0.135551,164.000000,5.400000
51.510193,-0.137999,326.000000,8.000000
51.510193,-0.137999,333.000000,9.400000
51.510261,-0.138122,204.000000,3.800000
51.510261,-0.138122,351.000000,12.200000
51.510261,-0.138122,86.000000,3.800000
51.510295,-0.138171,178.000000,4.200000
51.510295,-0.138171,61.000000,6.800000
51.510371,-0.138257,130.000000,8.000000
51.510415,-0.138298,203.000000,6.000000
51.510415,-0.138298,230.000000,4.800000
51.510462,-0.138328,235.000000,4.800000
51.510462,-0.138328,247.000000,7.000000
51.510462,-0.138328,68.000000,6.400000
51.510462,-0.138328,6.000000,5.600000
51.510577,-0.138403,124.000000,8.800000
51.510577,-0.138403,141.000000,8.400000
51.510577,-0.138403,175.000000,6.200000
51.510577,-0.138403,187.000000,5.800000
51.510577,-0.138403,92.000000,7.400000
51.510664,-0.138474,116.000000,5.200000
51.510664,-0.138474,147.000000,11.600000
51.510664,-0.138474,176.000000,8.400000
51.511296,-0.138999,309.000000,10.200000
51.511373,-0.139071,299.000000,6.800000
51.511373,-0.139071,326.000000,20.200000
51.511518,-0.139196,257.000000,9.600000
51.511518,-0.139196,273.000000,5.400000
51.511518,-0.139196,308.000000,10.000000
51.511579,-0.139234,218.000000,7.600000
51.511579,-0.139234,265.000000,5.400000
51.511579,-0.139234,35.000000,4.400000
51.511643,-0.139252,121.000000,5.000000
51.511643,-0.139252,184.000000,9.200000
51.511643,-0.139252,204.000000,7.000000
51.511643,-0.139252,307.000000,14.400000
51.511643,-0.139252,352.000000,5.000000
51.511643,-0.139252,65.000000,2.400000
51.511741,-0.139401,14.000000,8.000000
51.511741,-0.139401,215.000000,6.200000
51.511741,-0.139401,236.000000,5.600000
51.511741,-0.139401,301.000000,7.400000
51.511741,-0.139401,309.000000,7.200000
51.511700,-0.139364,0.000000,9.200000
51.511700,-0.139364,289.000000,7.000000
51.511700,-0.139364,79.000000,5.600000
51.511700,-0.139364,95.000000,6.400000
51.511822,-0.139473,121.000000,7.200000
51.511822,-0.139473,166.000000,12.800000
51.511822,-0.139473,182.000000,6.600000
51.511822,-0.139473,190.000000,8.600000
51.511822,-0.139473,299.000000,7.200000
51.511822,-0.139473,327.000000,13.200000
51.511822,-0.139473,93.000000,6.000000
51.511903,-0.139546,127.000000,6.600000
51.511903,-0.139546,164.000000,16.800000
51.511903,-0.139546,189.000000,10.600000
51.511903,-0.139546,279.000000,6.400000
51.511903,-0.139546,291.000000,7.000000
51.511903,-0.139546,312.000000,8.200000
51.511946,-0.139583,261.000000,8.600000
51.511946,-0.139583,287.000000,8.000000
51.511987,-0.139620,138.000000,10.400000
51.511987,-0.139620,13.000000,2.400000
51.511987,-0.139620,159.000000,18.000000
51.511987,-0.139620,210.000000,5.000000
51.511987,-0.139620,237.000000,6.000000
51.511987,-0.139620,296.000000,7.800000
51.512031,-0.139658,205.000000,7.000000
51.512031,-0.139658,257.000000,11.600000
51.512031,-0.139658,62.000000,4.400000
51.512077,-0.139699,189.000000,8.600000
51.512077,-0.139699,300.000000,4.000000
51.512077,-0.139699,99.000000,4.400000
51.512121,-0.139737,118.000000,7.600000
51.512121,-0.139737,250.000000,7.600000
51.512121,-0.139737,310.000000,7.000000
51.512121,-0.139737,4.000000,7.800000
51.512165,-0.139776,179.000000,7.200000
51.512165,-0.139776,191.000000,10.400000
51.512165,-0.139776,219.000000,10.600000
51.512165,-0.139776,28.000000,5.200000
51.512165,-0.139776,36.000000,4.000000
51.512277,-0.139942,115.000000,8.400000
51.512277,-0.139942,146.000000,11.200000
51.512277,-0.139942,167.000000,17.400000
51.512566,-0.140185,140.000000,8.400000
51.512752,-0.140295,211.000000,8.000000
51.512752,-0.140295,72.000000,7.400000
51.512827,-0.140362,327.000000,15.400000
51.512906,-0.140431,281.000000,7.800000
51.512906,-0.140431,304.000000,11.000000
51.512906,-0.140431,311.000000,8.400000
51.512906,-0.140431,323.000000,16.000000
51.512983,-0.140497,255.000000,6.600000
51.512983,-0.140497,303.000000,8.800000
51.513060,-0.140560,216.000000,3.800000
51.513060,-0.140560,231.000000,6.400000
51.513060,-0.140560,276.000000,9.600000
51.513099,-0.140592,169.000000,8.800000
51.513099,-0.140592,184.000000,6.000000
51.513099,-0.140592,264.000000,6.200000
51.513099,-0.140592,356.000000,10.000000
51.513180,-0.140658,168.000000,13.400000
51.513180,-0.140658,218.000000,10.200000
51.513180,-0.140658,51.000000,4.800000
51.513267,-0.140728,113.000000,4.800000
51.513267,-0.140728,124.000000,4.200000
51.513267,-0.140728,163.000000,18.400000
51.513267,-0.140728,182.000000,7.400000
51.513267,-0.140728,89.000000,3.400000
51.513352,-0.140798,131.000000,8.200000
51.513352,-0.140798,141.000000,11.400000
51.513352,-0.140798,168.000000,14.400000
51.513352,-0.140798,308.000000,9.000000
51.513391,-0.140836,137.000000,15.400000
51.513391,-0.140836,164.000000,21.000000
51.513391,-0.140836,305.000000,8.200000
51.513391,-0.140836,328.000000,21.400000
51.513470,-0.140917,159.000000,24.400000
51.513470,-0.140917,327.000000,17.200000
51.513561,-0.141003,158.000000,24.200000
51.513561,-0.141003,283.000000,3.600000
51.513561,-0.141003,326.000000,17.400000
51.513606,-0.141044,15.000000,7.400000
51.513606,-0.141044,272.000000,7.600000
51.513606,-0.141044,295.000000,8.600000
51.513606,-0.141044,324.000000,12.600000
51.513692,-0.141121,182.000000,8.000000
51.513692,-0.141121,236.000000,6.200000
51.513692,-0.141121,245.000000,12.000000
51.513692,-0.141121,275.000000,10.800000
51.513692,-0.141121,311.000000,8.600000
51.513692,-0.141121,357.000000,8.000000
51.513692,-0.141121,61.000000,6.400000
51.513704,-0.141211,102.000000,5.400000
51.513704,-0.141211,11.000000,8.800000
51.513704,-0.141211,170.000000,6.800000
51.513704,-0.141211,188.000000,3.200000
51.513704,-0.141211,306.000000,5.400000
51.513704,-0.141211,312.000000,3.000000
51.513704,-0.141211,324.000000,8.400000
51.513704,-0.141211,355.000000,10.000000
51.513704,-0.141211,3.000000,7.800000
51.513781,-0.141267,120.000000,5.200000
51.513781,-0.141267,171.000000,11.200000
51.513781,-0.141267,356.000000,10.000000
51.513781,-0.141267,80.000000,4.200000
51.513781,-0.141267,93.000000,7.200000
